,ALAND,AWATER,CD113FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,STATEFP,AREA,PERIMETER,COMPACTNESS
0,14227693111,414257512,1,113,N,3701,36.1119104,-77.5009008,C2,G5200,Congressional District 1,37,1.465369903,21.47501891,0.03993
1,20229273757,10851171398,3,113,N,3703,35.4057865,-76.6296737,C2,G5200,Congressional District 3,37,3.084325009,19.44122686,0.10255
2,1730858364,86473790,4,113,N,2504,41.9971989,-71.2275271,C2,G5200,Congressional District 4,25,0.197456461,3.843368973,0.16798
3,3146229191,5152011870,9,113,N,2509,41.6948531,-70.4851689,C2,G5200,Congressional District 9,25,0.897508399,6.374230218,0.27758
4,845313811,447648415,8,113,N,2508,42.1947343,-70.9440053,C2,G5200,Congressional District 8,25,0.140922993,3.60413393,0.13633
5,479388902,21677941,11,113,N,5111,38.791264,-77.2942679,C2,G5200,Congressional District 11,51,0.051950319,2.663611966,0.09201
6,98685953201,435877019,4,113,N,804,39.0706831,-103.413853,C2,G5200,Congressional District 4,8,10.31830522,18.81027021,0.36646
7,11125095359,119881178,6,113,N,2106,38.0534473,-84.1547782,C2,G5200,Congressional District 6,21,1.154197252,9.391014907,0.16446
8,10802402204,177149895,6,113,N,106,33.2602118,-86.7134267,C2,G5200,Congressional District 6,1,1.062502726,9.965807789,0.13444
9,26218531554,1029312841,4,113,N,4804,33.298288,-95.4180633,C2,G5200,Congressional District 4,48,2.638173746,13.74960507,0.17536
10,37433466212,1114920777,5,113,N,2205,31.7664463,-91.8235236,C2,G5200,Congressional District 5,22,3.67013964,21.81441277,0.09692
11,24932133897,449511864,2,113,N,1302,31.8162371,-84.4190306,C2,G5200,Congressional District 2,13,2.417876965,9.904284686,0.30974
12,246791968,19335530,9,113,N,3409,40.8607823,-74.0738236,C2,G5200,Congressional District 9,34,0.028423485,1.406775405,0.18048
13,6186411570,3271907723,24,113,N,3624,43.2103194,-76.6480936,C2,G5200,Congressional District 24,36,1.047560089,5.625349734,0.416
14,7788206885,770283619,1,113,N,4101,45.7211995,-123.3412706,C2,G5200,Congressional District 1,41,0.989130951,6.913387281,0.26006
15,23604940765,154764241,9,113,N,5109,36.9828146,-81.3524574,C2,G5200,Congressional District 9,51,2.405033293,13.53974235,0.16486
16,15500735761,241448676,4,113,N,4704,35.2621448,-86.6288782,C2,G5200,Congressional District 4,47,1.562903679,11.96381641,0.13722
