Sta,CD,Member Elected,Party,PVI,Rank,Winner2012,Margin,Romney,Obama,Cong,Winner2008,Margin,McCain,Obama,Net%
AL,1,"BONNER, JO (R)",REPUBLICAN,R+15,68,Romney,-24,62,37,,McCain,-23,61,38,-1
AL,2,"ROBY, MARTHA (R)",REPUBLICAN,R+17,47,Romney,-26,63,36,,McCain,-29,64,35,1
AL,3,"ROGERS, MIKE (R)",REPUBLICAN,R+16,57,Romney,-26,62,37,,McCain,-26,63,37,0
AL,4,"ADERHOLT, ROBERT B. (R)",REPUBLICAN,R+28,6,Romney,-51,75,24,,McCain,-47,73,26,-2
AL,5,"BROOKS, MO (R)",REPUBLICAN,R+17,49,Romney,-29,64,35,,McCain,-26,62,36,-1
AL,6,"BACHUS, SPENCER (R)",REPUBLICAN,R+28,5,Romney,-50,74,25,,McCain,-49,74,25,-1
AL,7,"Sewell, Terri A. (D)",DEMOCRAT,D+20,378,Obama,-46,27,73,,Obama,-44,28,72,1
AK,AL,"YOUNG, DON E. (R)",REPUBLICAN,R+12,98,Romney,-14,55,41,,McCain,-22,59,38,3
AZ,1,"Kirkpatrick, Ann (D)",DEMOCRAT,R+ 4,198,Romney,-3,50,48,RD,McCain,-3,51,48,0
AZ,2,"Barber, Ron (D)",DEMOCRAT,R+ 3,207,Romney,(2)#,50,48,RD,McCain,(1)#,50,49,-1
AZ,3,"Grijalva, Raul M. (D)",DEMOCRAT,D+ 8,303,Obama,-25,37,61,,Obama,-18,41,58,3
AZ,4,"GOSAR, PAUL A. (R)",REPUBLICAN,R+20,25,Romney,-36,67,31,,McCain,-30,64,34,-3
AZ,5,"SALMON, MATT (R)",REPUBLICAN,R+17,46,Romney,-29,64,35,,McCain,-26,63,36,-2
AZ,6,"SCHWEIKERT, DAVID (R)",REPUBLICAN,R+12,95,Romney,-21,60,39,,McCain,-17,58,41,-2
AZ,7,"Pastor, Ed (D)",DEMOCRAT,D+16,365,Obama,-45,27,72,,Obama,-31,34,65,7
AZ,8,"FRANKS, TRENT (R)",REPUBLICAN,R+15,66,Romney,-25,62,37,,McCain,-22,61,38,-2
AZ,9,"Sinema, Kyrsten (D)",DEMOCRAT,R+ 1,241,Obama,-5,47,51,,Obama,-4,47,51,0
AR,1,"CRAWFORD, ‰ÛªRICK‰Ûª (R)",REPUBLICAN,R+14,73,Romney,-25,61,36,,McCain,-19,58,39,-3
AR,2,"GRIFFIN, TIM (R)",REPUBLICAN,R+ 8,151,Romney,-12,55,43,,McCain,-10,54,44,-1
AR,3,"WOMACK, STEVE (R)",REPUBLICAN,R+19,33,Romney,-34,66,32,,McCain,-30,64,34,-2
AR,4,"COTTON, TOM (R)",REPUBLICAN,R+15,61,Romney,-26,62,36,,McCain,-23,60,37,-2
CA,1,"LAMALFA, DOUG (R)",REPUBLICAN,R+10,125,Romney,-16,56,40,,McCain,-11,55,43,-3
CA,2,"Huffman, Jared (D)",DEMOCRAT,D+20,381,Obama,-42,27,69,,Obama,-46,26,72,-3
CA,3,"Garamendi, John (D)",DEMOCRAT,D+ 3,263,Obama,-11,43,54,,Obama,-13,43,55,-1
